Title,Keyword Used,Company,Area,Posted On,Number of Applicants,Seniority level,Employment type,Job function,Industries
Data Analyst - Patient Logistics - Transfer System,data analyst,MercyOne,"Clive, IA",15 hours ago,71 applicants,Entry level,Full-time,Information Technology,Hospitals and Health Care
Senior SQL / Power BI Analyst,data analyst,Uline,"Pleasant Prairie, WI",5 hours ago,95 applicants,Mid-Senior level,Full-time,Analyst and Distribution,Wholesale
Remote Opportunity for Data Input Operator,data analyst,Dapco Video,"Massachusetts, United States",11 hours ago,,Not Applicable,Full-time,Information Technology,Media Production
Data Engineer,data analyst,iHeartMedia,"New York, NY",15 hours ago,158 applicants,Mid-Senior level,Full-time,Information Technology,Broadcast Media Production and Distribution
Quantitative Researcher,data analyst,Coda Search│Staffing,"New York, NY",18 hours ago,80 applicants,Mid-Senior level,Full-time,Finance,Financial Services
Data Analyst - Employee Benefits,data analyst,"Alera Group, Inc.","Norwell, MA",3 hours ago,,Not Applicable,Full-time,Information Technology,Insurance
"Data Engineer, Product Analytics",data analyst,Meta,"Austin, TX",5 hours ago,97 applicants,Not Applicable,Full-time,Information Technology,"Technology, Information and Internet"
Human Resources Data Reporting Analyst,data analyst,City of Atlanta,"Atlanta, GA",18 hours ago,81 applicants,Mid-Senior level,Full-time,Information Technology,Government Administration
Senior Data & Analytics Specialist,data analyst,Hiscox,"Atlanta, GA",5 hours ago,170 applicants,Mid-Senior level,Full-time,Information Technology,Insurance
Clinical Data Analyst,data analyst,"TSR Consulting Services, Inc.","North New Hyde Park, NY",17 hours ago,,Mid-Senior level,Full-time,Information Technology,Staffing and Recruiting
Data Analyst - Security Clearance Required - Remote | WFH,data analyst,Get It Recruit - Information Technology,"Huntsville, AL",17 hours ago,,Mid-Senior level,Full-time,Information Technology,Human Resources Services
Data/Reporting Analyst (DPW Fleet Services),data analyst,City of Atlanta,"Atlanta, GA",18 hours ago,,Mid-Senior level,Full-time,"Research, Analyst, and Information Technology",Government Administration
Administrative Assistant / Data Analyst Supporting the ATF,data analyst,FSA,"Washington, DC",2 hours ago,,Entry level,Full-time,Administrative,Government Administration
Senior SQL / Power BI Analyst,data analyst,Uline,"Milwaukee, WI",5 hours ago,85 applicants,Mid-Senior level,Full-time,Analyst and Distribution,Wholesale
Statistical Data Sciences and Analytics (SAS programmer) - Associate,data analyst,Pfizer,"Pearl River, NY",16 hours ago,,Associate,Full-time,Engineering and Information Technology,Pharmaceutical Manufacturing
"Senior Data Analyst, Cash App Compliance - Remote | WFH",data analyst,Get It Recruit - Finance,"Oakland, CA",17 hours ago,,Mid-Senior level,Full-time,Information Technology,Human Resources Services
Data Management Analyst,data analyst,"Modern Technology Solutions, Inc. (MTSI)","Huntsville, AL",5 hours ago,56 applicants,Entry level,Full-time,"General Business, Analyst, and Engineering","Defense and Space Manufacturing, Aviation and Aerospace Component Manufacturing, and Armed Forces"
Data Engineer,data analyst,Capleo Global,"Indianapolis, IN",20 hours ago,,Mid-Senior level,Full-time,Information Technology,Business Consulting and Services
Data Engineer,data analyst,Provation,United States,18 hours ago,,Not Applicable,Full-time,Information Technology,Information Technology & Services
"ICM Data Analyst, Assistant Vice President (C-12)",data analyst,Citi,"Tampa, FL",5 hours ago,129 applicants,Not Applicable,Full-time,Information Technology,"Banking, Financial Services, and Investment Banking"
Business Intelligence Engineer,data analyst,Amazon,"Cupertino, CA",4 hours ago,,Not Applicable,Full-time,"Strategy/Planning, Analyst, and Information Technology",Software Development
MARKETING DATA ANALYST,data analyst,Dice,"Vancouver, WA",22 hours ago,,Entry level,Full-time,Information Technology,Software Development
Data Engineer (Minneapolis onsite),data analyst,SkyWater Search Partners,"Minneapolis, MN",17 hours ago,,Mid-Senior level,Full-time,Information Technology,Staffing and Recruiting
Data Center Engineer,data analyst,Insight Global,"Austin, Texas Metropolitan Area",23 hours ago,76 applicants,Mid-Senior level,Full-time,Engineering,Data Infrastructure and Analytics
"Data Engineer, Product Analytics",data analyst,Meta,"New York, NY",5 hours ago,51 applicants,Not Applicable,Full-time,Information Technology,"Technology, Information and Internet"
"Sr. Analyst, Campaign Targeting and Analytics",data analyst,BMO U.S.,"Chicago, IL",5 hours ago,91 applicants,Not Applicable,Full-time,Marketing and Sales,Banking
Data Engineer,data analyst,Provation,"Minneapolis, MN",18 hours ago,174 applicants,Not Applicable,Full-time,Information Technology,Information Technology & Services
Data Engineer,data analyst,CubeSmart,"Malvern, PA",4 hours ago,67 applicants,Entry level,Full-time,Information Technology,Real Estate
"Staff/Principal Data Scientist, Research",data analyst,Pendulum Therapeutics,"San Francisco, CA",14 hours ago,,Not Applicable,Full-time,Engineering and Information Technology,Biotechnology
