Title,Keyword Used,Company,Area,Posted On,Number of Applicants,Seniority level,Employment type,Job function,Industries,Nivel de antigüedad,Tipo de empleo,Función laboral,Sectores
Senior Computer Vision Engineer,data scientist,Mitchells Agency,"Austin, TX",1 hour ago,,Mid-Senior level,Full-time,"Engineering, Research, and Science","Robotics Engineering, Software Development, and Defense and Space Manufacturing"
Python Application Developer- 5448541,data scientist,Accenture,"Dallas, TX",11 hours ago,82 applicants,Mid-Senior level,Full-time,Information Technology and Engineering,Business Consulting and Services
Software Developer,data scientist,Fusion Technology LLC,"Bridgeport, WV",2 hours ago,27 applicants,Mid-Senior level,Full-time,Engineering and Information Technology,Internet Publishing
"REMOTE Head, Data Science - FinTech/eCommerce",data scientist,Jobot,"Oakland, CA",8 hours ago,,Director,Full-time,Engineering and Information Technology,"Construction, Civil Engineering, and Industrial Machinery Manufacturing"
"Principal Software Engineer (Python, AWS)",data scientist,Selby Jennings,"Boston, MA",6 hours ago,70 applicants,Mid-Senior level,Full-time,Engineering and Information Technology,Financial Services
Senior Machine Learning Engineer,data scientist,QTS Data Centers,"Ashburn, VA",10 hours ago,,Mid-Senior level,Full-time,Engineering and Information Technology,IT Services and IT Consulting
Junior Application Engineer,data scientist,Patterned Learning Career,"Hilo, HI",9 hours ago,,Entry level,Full-time,Information Technology,Software Development
Software Engineer,data scientist,"American Honda Motor Company, Inc.","Raymond, OH",4 hours ago,151 applicants,Not Applicable,Full-time,Engineering and Information Technology,Motor Vehicle Manufacturing
DevOps Engineer (CI/CD),data scientist,Editech Staffing,"Jacksonville, FL",8 hours ago,,Mid-Senior level,Full-time,Information Technology,IT System Custom Software Development and Software Development
Entry Level Software Engineer,data scientist,Hughes,"Gaithersburg, MD",1 hour ago,,Entry level,Full-time,Engineering and Information Technology,Telecommunications
